state,last_update,lat,long,confirmed,deaths,recovered,active,fips,incident_rate,people_tested,people_hospitalized,mortality_rate,testing_rate,hospitalization_rate,date,month_abbr,day,state_abbr
Alaska,2020-04-28T02:32:46Z,61.3707,-152.4044,345,9,218,336,2,57.71653319369836,16256,10,2.608695652173913,2719.5361263674217,2.898550724637681,2020-04-28,Apr,28,AK
Arizona,2020-04-28T02:32:46Z,33.7298,-111.4312,6725,275,1418,6450,4,92.39265656296296,66543,1051,4.089219330855019,914.2133153411514,15.628252788104088,2020-04-28,Apr,28,AZ
Arkansas,2020-04-28T02:32:46Z,34.9697,-92.3731,3069,51,987,3018,5,118.53874061568304,40457,109,1.66177908113392,1562.633375395467,3.551645487129358,2020-04-28,Apr,28,AR
California,2020-04-28T02:32:46Z,36.1162,-119.6816,44966,1779,NA,43187,6,114.68396490363598,553409,4878,3.956322554819197,1411.4472786851463,10.848196415069163,2020-04-28,Apr,28,CA
Colorado,2020-04-28T02:32:46Z,39.0598,-105.3111,13879,706,2150,13173,8,244.9172047851235,63274,2438,5.086821817133799,1116.5711661916496,17.566107068232583,2020-04-28,Apr,28,CO
Connecticut,2020-04-28T02:32:46Z,41.5978,-72.7554,25997,2012,NA,23985,9,729.1699097435915,79811,1758,7.7393545409085664,2238.557513041727,6.762318729084125,2020-04-28,Apr,28,CT
Delaware,2020-04-28T02:32:46Z,39.3185,-75.5071,4162,125,996,4037,10,427.41362383493333,19616,325,3.00336376741951,2014.4511401119778,7.808745795290726,2020-04-28,Apr,28,DE
District of Columbia,2020-04-28T02:32:46Z,38.8974,-77.0268,3892,185,659,3707,11,551.4708487011671,18416,402,4.753340184994861,2609.4262974513604,10.328879753340185,2020-04-28,Apr,28,DC
Florida,2020-04-28T02:32:46Z,27.7663,-81.6868,32138,1088,NA,31050,12,151.36154271406912,356463,5211,3.3854004605140333,1678.8471466950407,16.214450183583295,2020-04-28,Apr,28,FL
Georgia,2020-04-28T02:32:46Z,33.0406,-83.6431,24302,995,NA,23307,13,239.6790419308138,127169,4681,4.094313225248951,1254.2072291704246,19.26178915315612,2020-04-28,Apr,28,GA
Hawaii,2020-04-28T02:32:46Z,21.0943,-157.4983,607,16,488,591,15,42.87371113996042,29010,68,2.6359143327841843,2049.0384846297393,11.202635914332784,2020-04-28,Apr,28,HI
Idaho,2020-04-28T02:32:46Z,44.2405,-114.4788,1897,56,983,1841,16,117.7897257803026,19895,169,2.952029520295203,1235.3329438055457,8.908803373748023,2020-04-28,Apr,28,ID
Illinois,2020-04-28T02:32:46Z,40.3495,-88.9861,45883,1983,NA,43900,17,390.97100093194643,227628,4672,4.32186212758538,1939.6279014043787,10.18242050432622,2020-04-28,Apr,28,IL
Indiana,2020-04-28T02:32:46Z,39.8494,-86.2583,15961,844,NA,15117,18,243.90303536341872,84476,1493,5.287889229998121,1290.8936041200527,9.354050498089093,2020-04-28,Apr,28,IN
Iowa,2020-04-28T02:32:46Z,42.0115,-93.2105,5868,127,2021,5741,19,223.90853176215785,38150,300,2.1642808452624402,1455.710716892693,5.112474437627812,2020-04-28,Apr,28,IA
Kansas,2020-04-28T02:32:46Z,38.5266,-96.7265,3473,126,NA,3347,20,142.42432195688477,27167,496,3.6279873308378923,1114.0920111150845,14.281600921393608,2020-04-28,Apr,28,KS
Kentucky,2020-04-28T02:32:46Z,37.6681,-84.6701,4156,213,1511,3943,21,121.40321788635129,48474,1274,5.125120307988451,1416.0008623250703,30.654475457170356,2020-04-28,Apr,28,KY
Louisiana,2020-04-28T02:32:46Z,31.1695,-91.8678,27068,1740,17303,25328,22,588.7847255303478,146989,1683,6.428254765775085,3197.313359722931,6.2176740062065905,2020-04-28,Apr,28,LA
Maine,2020-04-28T02:32:46Z,44.6939,-69.3819,1023,51,549,972,23,87.13754444185123,17807,161,4.9853372434017595,1516.7724866823507,15.73802541544477,2020-04-28,Apr,28,ME
Maryland,2020-04-28T02:32:46Z,39.0639,-76.8021,19487,945,1263,18542,24,327.8798856197741,104976,4101,4.849386770667625,1766.28105264132,21.04479909683379,2020-04-28,Apr,28,MD
Massachusetts,2020-04-28T02:32:46Z,42.2302,-71.5301,56462,3003,NA,53459,25,822.6089095034042,244887,5237,5.318621373667245,3567.819560439945,9.275264779851936,2020-04-28,Apr,28,MA
Michigan,2020-04-28T02:32:46Z,43.3266,-84.5361,38210,3407,8342,34803,26,479.5877729091021,157760,2667,8.91651400157027,1980.1038224061751,6.979848207275582,2020-04-28,Apr,28,MI
Minnesota,2020-04-28T02:32:46Z,45.6945,-93.9002,3811,286,1842,3525,27,77.04521589844506,61268,861,7.504591970611388,1238.6266826727715,22.59249540802939,2020-04-28,Apr,28,MN
Mississippi,2020-04-28T02:32:46Z,32.7416,-89.6787,6094,229,NA,5865,28,210.48588597840705,63462,1060,3.7577945520183786,2191.968378070507,17.394158188382015,2020-04-28,Apr,28,MS
Missouri,2020-04-28T02:32:46Z,38.4561,-92.2884,7305,343,NA,6962,29,124.67027655809686,71106,679,4.695414099931554,1213.5256242217708,9.295003422313483,2020-04-28,Apr,28,MO
Montana,2020-04-28T02:32:46Z,46.9219,-110.4544,449,14,352,435,30,51.848353381748225,13033,61,3.11804008908686,1504.9879501655337,13.585746102449889,2020-04-28,Apr,28,MT
Nebraska,2020-04-28T02:32:46Z,41.1254,-98.2681,3358,56,NA,3302,31,220.15745388363518,22363,NA,1.6676593210244193,1466.1647234067104,NA,2020-04-28,Apr,28,NE
Nevada,2020-04-28T02:32:46Z,38.3135,-117.0554,4700,206,NA,4494,32,155.7995383692827,38813,NA,4.382978723404255,1286.605847388717,NA,2020-04-28,Apr,28,NV
New Hampshire,2020-04-28T02:32:46Z,43.4525,-71.5639,1938,60,779,1878,33,145.91747305270195,19724,242,3.0959752321981426,1485.075458457943,12.487100103199175,2020-04-28,Apr,28,NH
New Jersey,2020-04-28T02:32:46Z,40.2989,-74.521,111188,6044,NA,105144,34,1251.8083941010043,227775,6407,5.435838399827319,2564.4013469651068,5.762312479764003,2020-04-28,Apr,28,NJ
New Mexico,2020-04-28T02:32:46Z,34.8405,-106.2485,2825,99,650,2726,35,169.4119396737576,56615,412,3.504424778761062,3395.1352087185082,14.584070796460177,2020-04-28,Apr,28,NM
New York,2020-04-28T02:32:46Z,42.1657,-74.9481,291996,22668,23887,269328,36,1731.7808377604565,826095,57103,7.7631200427403115,4899.435235995439,19.556089809449446,2020-04-28,Apr,28,NY
North Carolina,2020-04-28T02:32:46Z,35.6301,-79.8064,9428,340,NA,9088,37,95.06068588281259,109920,473,3.6062791684344506,1108.3019295968138,5.016970725498515,2020-04-28,Apr,28,NC
North Dakota,2020-04-28T02:32:46Z,47.5289,-99.78399999999999,942,19,350,923,38,155.33839694732018,22434,77,2.0169851380042463,3699.428447044778,8.174097664543524,2020-04-28,Apr,28,ND
Ohio,2020-04-28T02:32:46Z,40.3888,-82.7649,16325,753,NA,15572,39,146.0999153381195,119391,3232,4.612557427258806,1068.4848387218026,19.797856049004594,2020-04-28,Apr,28,OH
Oklahoma,2020-04-28T02:32:46Z,35.5653,-96.9289,3281,197,2167,3084,40,89.70279694469157,53171,656,6.004266991770802,1453.6993039762863,19.993904297470284,2020-04-28,Apr,28,OK
Oregon,2020-04-28T02:32:46Z,44.571999999999996,-122.0709,2354,92,NA,2262,41,58.746107508870566,51198,554,3.9082412914188613,1277.690404519607,23.534409515717925,2020-04-28,Apr,28,OR
Pennsylvania,2020-04-28T02:32:46Z,40.5908,-77.2098,43558,1886,NA,41672,42,346.04179051641484,203422,2800,4.329859038523348,1616.0639402734316,6.42821066164654,2020-04-28,Apr,28,PA
Rhode Island,2020-04-28T02:32:46Z,41.6809,-71.5118,7708,233,452,7475,44,727.608435651303,55885,718,3.02283341982356,5275.349951527383,9.314997405293202,2020-04-28,Apr,28,RI
South Carolina,2020-04-28T02:32:46Z,33.8569,-80.945,5613,177,3701,5436,45,111.36960004761929,50761,944,3.1533939070016035,1007.1676942841979,16.818100837341884,2020-04-28,Apr,28,SC
South Dakota,2020-04-28T02:32:46Z,44.2998,-99.4388,2244,11,1316,2233,46,304.9360503986998,16375,150,0.49019607843137253,2225.190652976252,6.684491978609626,2020-04-28,Apr,28,SD
Tennessee,2020-04-28T02:32:46Z,35.7478,-86.6923,9918,184,4720,9734,47,151.07551048914618,154402,837,1.8552127445049404,2351.921856275978,8.439201451905626,2020-04-28,Apr,28,TN
Texas,2020-04-28T02:32:46Z,31.0545,-97.5635,25321,666,11170,24655,48,110.16525397200321,290517,1563,2.6302278740965996,1263.9658421146264,6.17274199281229,2020-04-28,Apr,28,TX
Utah,2020-04-28T02:32:46Z,40.15,-111.8624,4236,41,1641,4195,49,147.80789997634236,100195,349,0.9678942398489141,3496.1313829390047,8.23890462700661,2020-04-28,Apr,28,UT
Vermont,2020-04-28T02:32:46Z,44.0459,-72.7107,855,47,NA,808,50,140.02826769474166,15073,33,5.497076023391813,2468.591905219697,3.8596491228070176,2020-04-28,Apr,28,VT
Virginia,2020-04-28T02:32:46Z,37.7693,-78.17,13538,460,1843,13078,51,171.2103985845865,80679,3298,3.3978431082877827,1020.3193785940209,24.36105776333284,2020-04-28,Apr,28,VA
Washington,2020-04-28T02:32:46Z,47.4009,-121.4905,13686,764,NA,12922,53,181.28585796784196,175477,536,5.582346923863803,2324.382471037776,3.91641093087827,2020-04-28,Apr,28,WA
West Virginia,2020-04-28T02:32:46Z,38.4912,-80.9545,1063,34,455,1029,54,80.3478160964718,43039,100,3.1984948259642523,3253.141728105409,9.407337723424272,2020-04-28,Apr,28,WV
Wisconsin,2020-04-28T02:32:46Z,44.2685,-89.6165,6081,281,NA,5800,55,117.51698836483256,67392,1415,4.620950501562243,1302.3688340540693,23.269199144877486,2020-04-28,Apr,28,WI
Wyoming,2020-04-28T02:32:46Z,42.756,-107.3025,520,7,342,513,56,104.5772665111415,8167,54,1.3461538461538463,1642.4664146086398,10.384615384615385,2020-04-28,Apr,28,WY
Alabama,2020-04-29T02:32:33Z,32.3182,-86.9023,6750,242,NA,6508,1,143.9570969462541,75827,911,3.585185185185185,1617.1607096509051,13.496296296296297,2020-04-29,Apr,29,AL
Alaska,2020-04-29T02:32:33Z,61.3707,-152.4044,351,9,228,342,2,58.720298988371376,17089,NA,2.5641025641025643,2858.892277527859,NA,2020-04-29,Apr,29,AK
Arizona,2020-04-29T02:32:33Z,33.7298,-111.4312,6955,275,1450,6680,4,95.55255411084124,67438,1095,3.9539899352983463,926.5094384078952,15.744069015097052,2020-04-29,Apr,29,AZ
Arkansas,2020-04-29T02:32:33Z,34.9697,-92.3731,3127,57,1146,3070,5,120.7789644526689,40671,NA,1.8228333866325552,1570.8990288629666,NA,2020-04-29,Apr,29,AR
California,2020-04-29T02:32:33Z,36.1162,-119.6816,46164,1864,NA,44300,6,117.73941546527269,577608,NA,4.037778355428473,1473.1658497544672,NA,2020-04-29,Apr,29,CA
Colorado,2020-04-29T02:32:33Z,39.0598,-105.3111,14316,736,2275,13580,8,252.62877035116563,66341,2485,5.1411008661637325,1170.6932979789522,17.35820061469684,2020-04-29,Apr,29,CO
Connecticut,2020-04-29T02:32:33Z,41.5978,-72.7554,26312,2087,NA,24225,9,738.0051030954871,92745,NA,7.931742170872606,2601.3333568938488,NA,2020-04-29,Apr,29,CT
Delaware,2020-04-29T02:32:33Z,39.3185,-75.5071,4575,137,1096,4438,10,469.82636449899564,21180,NA,2.9945355191256833,2175.0650054838748,NA,2020-04-29,Apr,29,DE
District of Columbia,2020-04-29T02:32:33Z,38.8974,-77.0268,3994,190,660,3804,11,565.9235790628113,18885,NA,4.757135703555333,2675.8805184279395,NA,2020-04-29,Apr,29,DC
Florida,2020-04-29T02:32:33Z,27.7663,-81.6868,32848,1171,NA,31677,12,154.70545631563078,366875,5266,3.564905017048222,1727.8849332013226,16.03141743789576,2020-04-29,Apr,29,FL
Georgia,2020-04-29T02:32:33Z,33.0406,-83.6431,24922,1036,NA,23886,13,245.7938063945248,140020,4814,4.1569697456062915,1380.9505164658278,19.316266752267072,2020-04-29,Apr,29,GA
Hawaii,2020-04-29T02:32:33Z,21.0943,-157.4983,609,16,493,593,15,43.01497542707725,29183,68,2.6272577996715927,2061.257845465346,11.16584564860427,2020-04-29,Apr,29,HI
Idaho,2020-04-29T02:32:33Z,44.2405,-114.4788,1952,60,1039,1892,16,121.20482062369567,20052,172,3.0737704918032787,1245.081487267595,8.811475409836065,2020-04-29,Apr,29,ID
Illinois,2020-04-29T02:32:33Z,40.3495,-88.9861,48102,2125,NA,45977,17,409.8791946217224,242189,NA,4.4176957299072805,2063.70280375536,NA,2020-04-29,Apr,29,IL
Indiana,2020-04-29T02:32:33Z,39.8494,-86.2583,16588,901,NA,15687,18,253.48433999175427,87181,NA,5.431637328189052,1332.22921659158,NA,2020-04-29,Apr,29,IN
Iowa,2020-04-29T02:32:33Z,42.0115,-93.2105,6376,136,2164,6240,19,243.29256961750485,39823,NA,2.132998745294856,1519.5483061289046,NA,2020-04-29,Apr,29,IA
Kansas,2020-04-29T02:32:33Z,38.5266,-96.7265,3652,127,NA,3525,20,149.76493630479214,28090,504,3.4775465498357065,1151.9433353783163,13.80065717415115,2020-04-29,Apr,29,KS
Kentucky,2020-04-29T02:32:33Z,37.6681,-84.6701,4375,225,1521,4150,21,127.80054818401993,48799,1281,5.142857142857143,1425.494617333026,29.28,2020-04-29,Apr,29,KY
Louisiana,2020-04-29T02:32:33Z,31.1695,-91.8678,27286,1801,17303,25485,22,593.5266743320922,151108,NA,6.600454445503188,3286.9100896054306,NA,2020-04-29,Apr,29,LA
Maine,2020-04-29T02:32:33Z,44.6939,-69.3819,1040,51,585,989,23,88.5855779271997,17824,163,4.903846153846154,1518.2205201676993,15.673076923076923,2020-04-29,Apr,29,ME
Maryland,2020-04-29T02:32:33Z,39.0639,-76.8021,20113,1016,1295,19097,24,338.4126925371025,107785,4268,5.051459255208075,1813.544079208054,21.220106398846518,2020-04-29,Apr,29,MD
Massachusetts,2020-04-29T02:32:33Z,42.2302,-71.5301,58302,3153,NA,55149,25,849.4163267660989,254500,5515,5.40804775136359,3707.8737463890116,9.45936674556619,2020-04-29,Apr,29,MA
Michigan,2020-04-29T02:32:33Z,43.3266,-84.5361,39262,3568,8342,35694,26,492.79181208995465,164805,NA,9.087667464724161,2068.528210266542,NA,2020-04-29,Apr,29,MI
Minnesota,2020-04-29T02:32:33Z,45.6945,-93.9002,4181,301,1912,3880,27,84.52533394683779,63829,912,7.199234632862951,1290.4012294888087,21.81296340588376,2020-04-29,Apr,29,MN
Mississippi,2020-04-29T02:32:33Z,32.7416,-89.6787,6342,239,NA,6103,28,219.05177040942854,64412,1088,3.7685272784610535,2224.7812418183717,17.155471460107222,2020-04-29,Apr,29,MS
Missouri,2020-04-29T02:32:33Z,38.4561,-92.2884,7450,330,NA,7120,29,127.14490901544444,73503,NA,4.429530201342282,1254.4338587063373,NA,2020-04-29,Apr,29,MO
Montana,2020-04-29T02:32:33Z,46.9219,-110.4544,451,15,356,436,30,52.07930373088742,13191,61,3.3259423503325944,1523.2330277475296,13.52549889135255,2020-04-29,Apr,29,MT
Nebraska,2020-04-29T02:32:33Z,41.1254,-98.2681,3517,56,NA,3461,31,230.58182409432547,23605,NA,1.592266135911288,1547.592822788329,NA,2020-04-29,Apr,29,NE
Nevada,2020-04-29T02:32:33Z,38.3135,-117.0554,4821,219,NA,4602,32,159.81054776134295,40119,NA,4.542626011200996,1329.898229752607,NA,2020-04-29,Apr,29,NV
New Hampshire,2020-04-29T02:32:33Z,43.4525,-71.5639,2010,60,798,1950,33,151.33855564289522,20145,246,2.985074626865672,1516.773733047823,12.238805970149254,2020-04-29,Apr,29,NH
New Jersey,2020-04-29T02:32:33Z,40.2989,-74.521,113856,6442,15642,107414,34,1281.8460312152747,234359,NA,5.658024170882518,2638.527210068688,NA,2020-04-29,Apr,29,NJ
New Mexico,2020-04-29T02:32:33Z,34.8405,-106.2485,2974,105,666,2869,35,178.3472950760195,58803,481,3.5305985205110963,3526.347004826891,16.17350369872226,2020-04-29,Apr,29,NM
New York,2020-04-29T02:32:33Z,42.1657,-74.9481,295106,22912,51630,272194,36,1750.225742503792,844994,64275,7.763989888379091,5011.522134627046,21.780309448130502,2020-04-29,Apr,29,NY
North Carolina,2020-04-29T02:32:33Z,35.6301,-79.8064,9755,363,NA,9392,37,98.35776312970269,112752,NA,3.7211686314710404,1136.8564334597886,NA,2020-04-29,Apr,29,NC
North Dakota,2020-04-29T02:32:33Z,47.5289,-99.78399999999999,991,19,409,972,38,163.4186320326903,23723,79,1.917255297679112,3911.9881006170663,7.971745711402623,2020-04-29,Apr,29,ND
Ohio,2020-04-29T02:32:33Z,40.3888,-82.7649,16769,799,NA,15970,39,150.0734750569633,122706,3340,4.764744468960582,1098.1522947307376,19.91770528952233,2020-04-29,Apr,29,OH
Oklahoma,2020-04-29T02:32:33Z,35.5653,-96.9289,3410,207,2260,3203,40,93.22966704705829,59699,656,6.070381231671554,1632.17533520303,19.237536656891496,2020-04-29,Apr,29,OK
Oregon,2020-04-29T02:32:33Z,44.571999999999996,-122.0709,2385,99,NA,2286,41,59.519739340975484,51198,554,4.150943396226415,1277.690404519607,23.228511530398322,2020-04-29,Apr,29,OR
Pennsylvania,2020-04-29T02:32:33Z,40.5908,-77.2098,45137,2046,NA,43091,42,358.58598417143617,209088,NA,4.532866606110287,1661.0768606340084,NA,2020-04-29,Apr,29,PA
Rhode Island,2020-04-29T02:32:33Z,41.6809,-71.5118,7927,239,466,7688,44,748.2812752215723,57693,732,3.01501198435726,5446.018873641752,9.234262646650688,2020-04-29,Apr,29,RI
South Carolina,2020-04-29T02:32:33Z,33.8569,-80.945,5735,192,2830,5543,45,113.79024697543143,52145,944,3.347863993025283,1034.6281479570832,16.460331299040977,2020-04-29,Apr,29,SC
South Dakota,2020-04-29T02:32:33Z,44.2998,-99.4388,2313,11,1392,2302,46,314.3124262799432,16612,157,0.4755728491137051,2257.3964657857405,6.7877215737137915,2020-04-29,Apr,29,SD
Tennessee,2020-04-29T02:32:33Z,35.7478,-86.6923,10052,188,4921,9864,47,153.11665975366984,161928,894,1.870274572224433,2466.561329147657,8.89375248706725,2020-04-29,Apr,29,TN
Texas,2020-04-29T02:32:33Z,31.0545,-97.5635,26357,719,11786,25638,48,114.67262742151134,300384,NA,2.727928064650757,1306.8946585492758,NA,2020-04-29,Apr,29,TX
Utah,2020-04-29T02:32:33Z,40.15,-111.8624,4345,41,1704,4304,49,151.6112666187931,102439,370,0.9436133486766398,3574.431885192761,8.51553509781358,2020-04-29,Apr,29,UT
Vermont,2020-04-29T02:32:33Z,44.0459,-72.7107,862,47,NA,815,50,141.17469795656996,15215,NA,5.452436194895592,2491.8480619596426,NA,2020-04-29,Apr,29,VT
Virginia,2020-04-29T02:32:33Z,37.7693,-78.17,14339,492,1914,13847,51,181.34036824526413,82753,3422,3.4312016179649905,1046.5485384894585,23.864983611130484,2020-04-29,Apr,29,VA
Washington,2020-04-29T02:32:33Z,47.4009,-121.4905,13842,786,NA,13056,53,183.3522465286328,179679,NA,5.678370177719983,2380.0425013739496,NA,2020-04-29,Apr,29,WA
West Virginia,2020-04-29T02:32:33Z,38.4912,-80.9545,1095,38,481,1057,54,82.7665650288209,43055,NA,3.470319634703196,3254.351102571584,NA,2020-04-29,Apr,29,WV
Wisconsin,2020-04-29T02:32:33Z,44.2685,-89.6165,6289,300,NA,5989,55,121.53664526006118,69824,1456,4.770233741453331,1349.3678992905886,23.151534425186835,2020-04-29,Apr,29,WI
Wyoming,2020-04-29T02:32:33Z,42.756,-107.3025,536,7,343,529,56,107.79502855763816,8615,56,1.3059701492537314,1732.5637519105462,10.447761194029852,2020-04-29,Apr,29,WY
Alabama,2020-04-30T02:32:31Z,32.3182,-86.9023,6912,256,NA,6656,1,147.4120672729642,80449,945,3.7037037037037037,1715.7339988487697,13.671875,2020-04-30,Apr,30,AL
Alaska,2020-04-30T02:32:31Z,61.3707,-152.4044,355,9,240,346,2,59.38947618482005,19119,NA,2.535211267605634,3198.499704725562,NA,2020-04-30,Apr,30,AK
Arizona,2020-04-30T02:32:31Z,33.7298,-111.4312,7209,308,1475,6901,4,99.04218009849812,68813,1131,4.2724372312387295,945.4001302702111,15.688722430295464,2020-04-30,Apr,30,AZ
Arkansas,2020-04-30T02:32:31Z,34.9697,-92.3731,3193,57,1249,3136,5,123.32818468096316,45449,389,1.7851550266207328,1755.4471235719056,12.182900093955528,2020-04-30,Apr,30,AR
California,2020-04-30T02:32:31Z,36.1162,-119.6816,48747,1946,NA,46801,6,124.32725252763295,603139,NA,3.992040535827846,1538.2816329674445,NA,2020-04-30,Apr,30,CA
Colorado,2020-04-30T02:32:31Z,39.0598,-105.3111,14758,766,2275,13992,8,260.42856893283755,69449,2610,5.190405203957176,1225.538940494419,17.685323214527713,2020-04-30,Apr,30,CO
Connecticut,2020-04-30T02:32:31Z,41.5978,-72.7554,26767,2169,NA,24598,9,750.7670490482253,94818,NA,8.103261478686441,2659.4773436191813,NA,2020-04-30,Apr,30,CT
Delaware,2020-04-30T02:32:31Z,39.3185,-75.5071,4655,144,1173,4511,10,478.04190748477043,21538,NA,3.093447905477981,2211.829560345217,NA,2020-04-30,Apr,30,DE
District of Columbia,2020-04-30T02:32:31Z,38.8974,-77.0268,4106,205,660,3901,11,581.7932437736363,19229,NA,4.992693619094009,2724.6230600397594,NA,2020-04-30,Apr,30,DC
Florida,2020-04-30T02:32:31Z,27.7663,-81.6868,33193,1218,NA,31975,12,156.33031574174174,373488,5624,3.669448377669991,1759.030427070516,16.943331425300514,2020-04-30,Apr,30,FL
Georgia,2020-04-30T02:32:31Z,33.0406,-83.6431,25775,1101,NA,24674,13,254.2065387937917,143939,5056,4.271580989330747,1419.6017453904785,19.615906886517944,2020-04-30,Apr,30,GA
Hawaii,2020-04-30T02:32:31Z,21.0943,-157.4983,613,16,505,597,15,43.297504001310934,29618,69,2.6101141924959217,2091.982827913258,11.256117455138662,2020-04-30,Apr,30,HI
Idaho,2020-04-30T02:32:31Z,44.2405,-114.4788,1952,60,1087,1892,16,121.20482062369567,28382,173,3.0737704918032787,1762.3131244578537,8.862704918032787,2020-04-30,Apr,30,ID
Illinois,2020-04-30T02:32:31Z,40.3495,-88.9861,50358,2215,NA,48143,17,429.10266689037246,256667,NA,4.398506692084673,2187.0704595645425,NA,2020-04-30,Apr,30,IL
Indiana,2020-04-30T02:32:31Z,39.8494,-86.2583,17182,964,NA,16218,18,262.5613654291248,91550,NA,5.610522639972063,1398.9927252378288,NA,2020-04-30,Apr,30,IN
Iowa,2020-04-30T02:32:31Z,42.0115,-93.2105,6843,148,2428,6695,19,261.11214772468406,41337,NA,2.1627940961566563,1577.318844146612,NA,2020-04-30,Apr,30,IA
Kansas,2020-04-30T02:32:31Z,38.5266,-96.7265,3839,134,266,3705,20,157.43362280232668,29458,515,3.4904923157072156,1208.0436729645583,13.414951810367283,2020-04-30,Apr,30,KS
Kentucky,2020-04-30T02:32:31Z,37.6681,-84.6701,4537,234,1617,4303,21,132.5328199110625,52411,1331,5.157593123209169,1531.0067499137529,29.336566012783777,2020-04-30,Apr,30,KY
Louisiana,2020-04-30T02:32:31Z,31.1695,-91.8678,27660,1845,17303,25815,22,601.6619442947177,156568,NA,6.670281995661605,3405.676330236275,NA,2020-04-30,Apr,30,LA
Maine,2020-04-30T02:32:31Z,44.6939,-69.3819,1056,52,615,1004,23,89.94843297223353,20602,166,4.924242424242424,1754.8462273617001,15.719696969696969,2020-04-30,Apr,30,ME
Maryland,2020-04-30T02:32:31Z,39.0639,-76.8021,20849,1078,1361,19771,24,350.7963121715333,110929,4402,5.170511775145091,1866.4436717768729,21.113722480694516,2020-04-30,Apr,30,MD
Massachusetts,2020-04-30T02:32:31Z,42.2302,-71.5301,60265,3405,NA,56860,25,878.0157615958105,265618,5758,5.650045631792914,3869.8546513491415,9.554467767360823,2020-04-30,Apr,30,MA
Michigan,2020-04-30T02:32:31Z,43.3266,-84.5361,40399,3670,8342,36729,26,507.06271755443123,172352,NA,9.084383276813783,2163.2533848843123,NA,2020-04-30,Apr,30,MI
Minnesota,2020-04-30T02:32:31Z,45.6945,-93.9002,4644,319,2043,4325,27,93.88558977496166,66744,950,6.869078380706288,1349.3324297889837,20.45650301464255,2020-04-30,Apr,30,MN
Mississippi,2020-04-30T02:32:31Z,32.7416,-89.6787,6569,250,3413,6319,28,226.89231785233935,66094,1126,3.8057543005023597,2282.87728058038,17.141117369462627,2020-04-30,Apr,30,MS
Missouri,2020-04-30T02:32:31Z,38.4561,-92.2884,7660,338,NA,7322,29,130.72885947091333,77159,NA,4.412532637075718,1316.828729492977,NA,2020-04-30,Apr,30,MO
Montana,2020-04-30T02:32:31Z,46.9219,-110.4544,451,16,382,435,30,52.07930373088742,13528,61,3.5476718403547673,1562.1481615774833,13.52549889135255,2020-04-30,Apr,30,MT
Nebraska,2020-04-30T02:32:31Z,41.1254,-98.2681,3851,56,NA,3795,31,252.47955774445475,23631,NA,1.4541677486367177,1549.2974367850456,NA,2020-04-30,Apr,30,NE
Nevada,2020-04-30T02:32:31Z,38.3135,-117.0554,4934,230,100,4704,32,163.55636644979592,41028,NA,4.661532225374949,1360.0305234499851,NA,2020-04-30,Apr,30,NV
New Hampshire,2020-04-30T02:32:31Z,43.4525,-71.5639,2058,60,936,1998,33,154.95261070302405,20746,249,2.9154518950437316,1562.0247141131863,12.099125364431487,2020-04-30,Apr,30,NH
New Jersey,2020-04-30T02:32:31Z,40.2989,-74.521,116365,6771,15642,109594,34,1310.0935692661383,241318,NA,5.8187599364069955,2716.875004925587,NA,2020-04-30,Apr,30,NJ
New Mexico,2020-04-30T02:32:31Z,34.8405,-106.2485,3213,112,705,3101,35,192.6798450165604,61745,509,3.485838779956427,3702.775297400411,15.841892312480548,2020-04-30,Apr,30,NM
New York,2020-04-30T02:32:31Z,42.1657,-74.9481,299691,23477,53238,276214,36,1777.4186326157514,872481,65397,7.833735414143234,5174.543066035428,21.821476120404014,2020-04-30,Apr,30,NY
North Carolina,2020-04-30T02:32:31Z,35.6301,-79.8064,10180,382,NA,9798,37,102.64295527015615,118440,NA,3.7524557956777995,1194.2074285066105,NA,2020-04-30,Apr,30,NC
North Dakota,2020-04-30T02:32:31Z,47.5289,-99.78399999999999,1033,19,437,1014,38,170.34454782015047,25536,82,1.8393030009680542,4210.956798775762,7.938044530493707,2020-04-30,Apr,30,ND
Ohio,2020-04-30T02:32:31Z,40.3888,-82.7649,17303,937,NA,16366,39,154.85248607016734,128908,3421,5.41524591111368,1153.6568383709837,19.771137952956135,2020-04-30,Apr,30,OH
Oklahoma,2020-04-30T02:32:31Z,35.5653,-96.9289,3473,214,2319,3259,40,94.95209198077227,61267,693,6.161819752375468,1675.0445779976892,19.953930319608407,2020-04-30,Apr,30,OK
Oregon,2020-04-30T02:32:31Z,44.571999999999996,-122.0709,2446,101,NA,2345,41,61.04204713963356,54472,569,4.129190515126737,1359.3959083361076,23.262469337694196,2020-04-30,Apr,30,OR
Pennsylvania,2020-04-30T02:32:31Z,40.5908,-77.2098,46327,2373,NA,43954,42,368.03980966192086,214883,NA,5.122282901979407,1707.1146074553185,NA,2020-04-30,Apr,30,PA
Rhode Island,2020-04-30T02:32:31Z,41.6809,-71.5118,8247,251,391,7996,44,778.488164091372,60165,750,3.043530980962774,5679.367090160956,9.094216078574027,2020-04-30,Apr,30,RI
South Carolina,2020-04-30T02:32:31Z,33.8569,-80.945,5882,231,3252,5651,45,116.70692810976244,54217,1000,3.9272356341380483,1075.739462993368,17.001020061203672,2020-04-30,Apr,30,SC
