state,last_update,lat,long,confirmed,deaths,recovered,active,fips,incident_rate,people_tested,people_hospitalized,mortality_rate,testing_rate,hospitalization_rate,date,month_abbr,day,state_abbr
Hawaii,2020-04-12T23:18:15Z,21.0943,-157.4983,499,9,300,490,15,35.24543964,17968,44,1.803607214,1269.118355,8.817635271,2020-04-12,Apr,12,HI
Idaho,2020-04-12T23:18:15Z,44.2405,-114.4788,1407,27,NA,1380,16,87.36433536,14308,131,1.918976546,888.4214004,9.310589908,2020-04-12,Apr,12,ID
Illinois,2020-04-12T23:18:15Z,40.3495,-88.9861,20852,720,NA,20132,17,177.6807818,100735,3680,3.452906196,858.3672336,17.64818722,2020-04-12,Apr,12,IL
Indiana,2020-04-12T23:18:15Z,39.8494,-86.2583,7928,343,NA,7585,18,121.1492553,42489,NA,4.326437941,649.2823801,NA,2020-04-12,Apr,12,IN
Iowa,2020-04-12T23:18:15Z,42.0115,-93.2105,1587,41,674,1546,19,60.55603952,17592,129,2.583490863,671.2677046,8.128544423,2020-04-12,Apr,12,IA
Kansas,2020-04-12T23:18:15Z,38.5266,-96.7265,1344,56,NA,1288,20,55.11612114,13253,298,4.166666667,543.4925249,22.17261905,2020-04-12,Apr,12,KS
Kentucky,2020-04-12T23:18:15Z,37.6681,-84.6701,1963,97,464,1866,21,57.34228025,24567,459,4.9414162,717.6402439,23.38257769,2020-04-12,Apr,12,KY
Louisiana,2020-04-12T23:18:15Z,31.1695,-91.8678,20595,840,NA,19755,22,447.9836494,104045,2084,4.078659869,2263.19295,10.11896091,2020-04-12,Apr,12,LA
Maine,2020-04-12T23:18:15Z,44.6939,-69.3819,633,19,266,614,23,53.91795272,6721,120,3.001579779,572.4842974,18.95734597,2020-04-12,Apr,12,ME
Maryland,2020-04-12T23:18:15Z,39.0639,-76.8021,8225,236,456,7989,24,138.3903145,49764,1860,2.869300912,837.3076732,22.61398176,2020-04-12,Apr,12,MD
Massachusetts,2020-04-12T23:18:15Z,42.2302,-71.5301,25475,756,NA,24719,25,371.1516059,116730,2235,2.967615309,1700.668379,8.773307164,2020-04-12,Apr,12,MA
Michigan,2020-04-12T23:18:15Z,43.3266,-84.5361,24244,1479,433,22765,26,304.2953668,79437,3636,6.100478469,997.0430232,14.99752516,2020-04-12,Apr,12,MI
Minnesota,2020-04-12T23:18:15Z,45.6945,-93.9002,1621,70,842,1551,27,32.77100367,37421,361,4.318322023,756.5229662,22.27020358,2020-04-12,Apr,12,MN
Mississippi,2020-04-12T23:18:15Z,32.7416,-89.6787,2781,96,NA,2685,28,96.05534114,21413,548,3.451995685,739.6019489,19.70514204,2020-04-12,Apr,12,MS
Missouri,2020-04-12T23:18:15Z,38.4561,-92.2884,4269,118,NA,4151,29,72.85659283,45200,988,2.764113375,771.4026695,23.14359335,2020-04-12,Apr,12,MO
Montana,2020-04-12T23:18:15Z,46.9219,-110.4544,387,6,169,381,30,44.68889256,8913,47,1.550387597,1029.230231,12.14470284,2020-04-12,Apr,12,MT
Nebraska,2020-04-12T23:18:15Z,41.1254,-98.2681,791,17,NA,774,31,51.85960275,10691,NA,2.149178255,700.924163,NA,2020-04-12,Apr,12,NE
Nevada,2020-04-12T23:18:15Z,38.3135,-117.0554,2836,112,NA,2724,32,94.01010443,24611,282,3.94922426,815.8260508,9.943582511,2020-04-12,Apr,12,NV
New Hampshire,2020-04-12T23:18:15Z,43.4525,-71.5639,929,23,236,906,33,69.94702398,10925,146,2.475780409,822.5739902,15.71582347,2020-04-12,Apr,12,NH
New Jersey,2020-04-12T23:18:15Z,40.2989,-74.521,61850,2350,NA,59500,34,696.3372772,126735,7604,3.799514956,1426.844055,12.29426031,2020-04-12,Apr,12,NJ
New Mexico,2020-04-12T23:18:15Z,34.8405,-106.2485,1245,26,235,1219,35,74.66119111,28692,78,2.088353414,1720.625619,6.265060241,2020-04-12,Apr,12,NM
